"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","20.100.0.23","10.100.0.23","S1AP/NAS-EPS","78","UplinkNASTransport, Service request"
"2","0.000258","10.100.0.1","20.100.0.1","S1AP","1406","InitialContextSetupRequest, UECapabilityInformation[Malformed Packet]"
"3","-0.000171","20.100.0.1","10.100.0.1","S1AP/NAS-EPS","126","InitialUEMessage, Service request"
"4","0.046393","10.100.0.11","20.100.0.11","GTPv2","109","Modify Bearer Request"
"5","0.046263","20.100.0.1","10.100.0.1","S1AP","106","InitialContextSetupResponse"
"6","0.095755","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"7","1.139191","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"8","1.139330","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"9","1.196331","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"10","1.196473","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"11","37.758805","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"12","37.758985","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"13","37.795930","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"14","37.796023","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"15","41.920986","10.100.0.1","20.100.0.1","S1AP","90","UEContextReleaseCommand [RadioNetwork-cause=user-inactivity]"
"16","41.920911","10.100.0.11","20.100.0.11","GTPv2","54","Release Access Bearers Request"
"17","41.920753","20.100.0.1","10.100.0.1","S1AP","94","UEContextReleaseRequest [RadioNetwork-cause=user-inactivity]"
"18","41.925284","20.100.0.11","10.100.0.11","GTPv2","60","Release Access Bearers Response"
"19","41.924751","20.100.0.1","10.100.0.1","S1AP","86","UEContextReleaseComplete"
"20","45.929993","10.100.0.1","20.100.0.1","S1AP","1406","InitialContextSetupRequest, UECapabilityInformation[Malformed Packet]"
"21","45.929636","20.100.0.1","10.100.0.1","S1AP/NAS-EPS","126","InitialUEMessage, Service request"
"22","45.929725","20.100.0.23","10.100.0.23","S1AP/NAS-EPS","78","UplinkNASTransport, Service request"
"23","45.975947","20.100.0.1","10.100.0.1","S1AP","106","InitialContextSetupResponse"
"24","45.976129","10.100.0.11","20.100.0.11","GTPv2","109","Modify Bearer Request"
"25","45.995637","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"26","47.058692","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"27","47.058530","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"28","47.095883","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"29","47.095768","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"30","50.236161","10.100.0.20","20.100.0.20","SGSAP","134","SGsAP-IMSI-DETACH-INDICATION"
"31","50.235924","20.100.0.23","10.100.0.23","S1AP/NAS-EPS","98","UplinkNASTransport, Detach request (Combined EPS/IMSI detach / switch-off)"
"32","50.236245","10.100.0.11","20.100.0.11","GTPv2","86","Delete Session Request"
"33","50.235802","20.100.0.1","10.100.0.1","S1AP/NAS-EPS","134","UplinkNASTransport, Detach request (Combined EPS/IMSI detach / switch-off)"
"34","50.247174","10.100.0.1","20.100.0.1","S1AP","86","UEContextReleaseCommand  [NAS-cause=detach]"
"35","50.247025","20.100.0.11","10.100.0.11","GTPv2","65","Delete Session Response"
"36","50.251237","20.100.0.1","10.100.0.1","S1AP","86","UEContextReleaseComplete"
"37","50.254825","20.100.0.20","10.100.0.20","SGSAP","74","SGsAP-IMSI-DETACH-ACK"
"38","51.730064","10.100.0.6","20.100.0.6","DIAMETER","514","cmd=3GPP-Authentication-Information Request(318) flags=RP-- appl=3GPP S6a/S6d(16777251) h2h=3d88d8b4 e2e=ba0bd02d | "
"39","51.729814","20.100.0.23","10.100.0.23","S1AP/NAS-EPS","182","UplinkNASTransport, Attach request, PDN connectivity request"
